
--- YENI OTURUM BASLADI ---
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.224 | Kayitli MAC: DC:97:BA:7E:42:35 | Sahte MAC: DC:97:BA:7E:42:35
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.224 | Kayitli MAC: DC:97:BA:7E:42:35 | Sahte MAC: DC:97:BA:7E:42:35
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.224 | Kayitli MAC: DC:97:BA:7E:42:35 | Sahte MAC: DC:97:BA:7E:42:35
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
[ALARM] ARP Spoofing Tespiti! IP: 192.168.1.220 | Kayitli MAC: 60:A5:E2:D2:70:99 | Sahte MAC: 60:A5:E2:D2:70:99
